# HOMER Peaks
# Peak finding parameters:
# tag directory = Anat_WT_noLPS4
#
# total peaks = 119
# peak size = 165
# peaks found using tags on both strands
# minimum distance between peaks = 330
# fragment length = 300
# genome size = 2000000000
# Total tags = 4952677.5
# Total tags in peaks = 2281.0
# Approximate IP efficiency = 0.05%
# tags per bp = 0.002435
# expected tags per peak = 0.402
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 2.362640e-07
# FDR tag threshold = 7.0
# number of putative peaks = 16140
#
# input tag directory = Anat_WT_noLPS4
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 16004
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 14
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 3
#
# cmd = findPeaks Anat_WT_noLPS4 -o Anat_WT_noLPS4.peaks.txt -style factor -fragLength 300 -i Anat_WT_noLPS4
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr4-299	chr4	6284495	6284659	+	35.3	0.474	17.500000	17.5	3.0	5.83	2.16e-08	17.83	7.66e-16	0.93
chr9-390	chr9	3258774	3258938	+	35.3	0.828	13.500000	17.5	2.0	8.75	5.61e-11	26.41	1.33e-18	1.20
chr4-361	chr4	70039176	70039340	+	34.3	0.885	15.500000	17.0	2.5	6.80	1.56e-09	38.24	1.87e-21	1.08
chr13-241	chr13	104564518	104564682	+	34.3	0.538	18.000000	17.0	4.0	4.25	1.13e-06	16.61	1.59e-15	0.95
chr15-177	chr15	82176456	82176620	+	34.3	0.576	18.000000	17.0	4.0	4.25	1.13e-06	26.58	1.25e-17	0.93
chr3-297	chr3	59849333	59849497	+	33.3	0.600	16.500000	17.0	3.0	5.67	2.16e-08	19.48	1.44e-15	1.09
chr7-382	chr7	52252738	52252902	+	33.3	0.667	17.000000	16.5	3.5	4.71	9.18e-07	42.97	1.21e-19	0.93
chr6-320	chr6	15791693	15791857	+	32.3	0.707	15.500000	16.0	3.5	4.57	9.18e-07	9.68	3.13e-11	1.02
chr11-206	chr11	93817235	93817399	+	32.3	0.765	16.500000	16.0	3.5	4.57	9.18e-07	41.47	7.85e-21	0.96
chr7-430	chr7	20093857	20094021	+	31.3	0.686	15.500000	16.0	3.5	4.57	9.18e-07	45.07	6.04e-20	0.96
chr8-331	chr8	76201402	76201566	+	31.3	0.500	16.500000	15.5	3.5	4.43	4.26e-06	14.66	6.53e-13	0.93
chr13-318	chr13	83205224	83205388	+	29.3	0.694	15.000000	14.5	2.5	5.80	4.20e-07	19.00	1.22e-13	0.93
chr2-757	chr2	90235247	90235411	+	28.3	0.919	10.000000	14.0	0.5	28.00	4.25e-16	238.42	6.27e-29	1.35
chr9-387	chr9	74918949	74919113	+	28.3	0.559	14.000000	14.0	3.0	4.67	3.40e-06	27.82	4.64e-16	0.96
chr9-376	chr9	114690555	114690719	+	28.3	0.600	14.500000	14.5	3.0	4.83	3.40e-06	16.36	5.49e-13	0.96
chr12-296	chr12	107254747	107254911	+	28.3	0.623	13.500000	14.0	3.0	4.67	3.40e-06	28.78	2.94e-16	1.00
chr3-797	chr3	135217183	135217347	+	27.3	0.857	7.500000	13.5	0.5	27.00	1.19e-14	84.70	5.86e-21	1.79
chr6-387	chr6	17579207	17579371	+	27.3	0.849	13.500000	13.5	2.5	5.40	2.38e-06	40.23	7.85e-17	0.93
chr13-365	chr13	111393221	111393385	+	27.3	0.900	13.500000	13.5	1.5	9.00	7.80e-09	10.52	1.25e-09	0.93
chr14-227	chr14	21365453	21365617	+	27.3	0.567	14.000000	13.5	3.0	4.50	1.61e-05	29.80	3.45e-15	0.93
chr4-493	chr4	149275516	149275680	+	25.2	0.607	12.500000	12.5	3.0	4.17	7.14e-05	18.40	1.02e-11	0.93
chr10-426	chr10	80065691	80065855	+	25.2	0.534	14.000000	12.5	2.0	6.25	1.36e-06	24.43	4.03e-13	0.93
chr10-488	chr10	86487732	86487896	+	25.2	0.875	12.500000	12.5	3.0	4.17	7.14e-05	18.17	1.18e-11	0.93
chr16-292	chr16	35981745	35981909	+	25.2	0.922	12.000000	12.5	3.0	4.17	7.14e-05	10.14	8.30e-09	1.06
chr9-432	chr9	78023361	78023525	+	24.2	0.600	12.500000	12.0	2.0	6.00	1.36e-06	11.18	1.82e-09	0.97
chr9-442	chr9	121614053	121614217	+	24.2	0.702	12.500000	12.0	2.5	4.80	1.26e-05	37.65	1.67e-15	0.97
chr4-498	chr4	20118966	20119130	+	23.2	0.860	12.000000	11.5	1.0	11.50	1.00e-08	24.05	4.64e-12	0.93
chr5-556	chr5	145528261	145528425	+	23.2	0.825	11.000000	11.5	0.5	23.00	7.42e-12	16.93	1.81e-10	0.97
chr9-574	chr9	110183746	110183910	+	23.2	0.953	10.000000	11.5	1.0	11.50	1.00e-08	38.08	3.53e-14	1.07
chr11-359	chr11	97606382	97606546	+	23.2	0.649	12.000000	11.5	2.5	4.60	6.16e-05	20.16	2.95e-11	0.93
chr12-344	chr12	99913044	99913208	+	23.2	0.630	11.500000	11.5	2.5	4.60	6.16e-05	29.80	4.81e-13	0.93
chr1-674	chr1	146253872	146254036	+	22.2	0.844	10.500000	11.0	1.5	7.33	5.52e-07	40.98	9.99e-15	1.02
chr4-545	chr4	32337221	32337385	+	22.2	0.692	11.000000	11.0	1.5	7.33	5.52e-07	8.30	1.66e-07	0.97
chr11-408	chr11	58115375	58115539	+	22.2	0.667	11.000000	11.0	2.5	4.40	6.16e-05	17.39	9.73e-10	0.93
chr14-305	chr14	22526201	22526365	+	22.2	0.608	11.000000	11.0	2.5	4.40	6.16e-05	21.15	1.12e-11	0.97
chr17-428	chr17	48061646	48061810	+	22.2	0.723	10.500000	11.0	2.5	4.40	6.16e-05	18.21	5.34e-11	1.02
chr7-694	chr7	87219861	87220025	+	21.2	0.741	10.500000	10.5	1.5	7.00	4.10e-06	10.01	1.71e-07	0.97
chr10-550	chr10	67012051	67012215	+	21.2	0.638	11.000000	10.5	1.5	7.00	4.10e-06	22.76	7.59e-11	0.93
chr1-649	chr1	34068086	34068250	+	20.2	0.507	10.500000	10.5	2.0	5.25	4.65e-05	11.57	2.69e-08	0.97
chr6-551	chr6	38331357	38331521	+	20.2	0.719	10.000000	10.0	1.5	6.67	4.10e-06	85.15	1.22e-16	0.97
chr6-597	chr6	49186430	49186594	+	20.2	0.927	9.500000	10.0	1.5	6.67	4.10e-06	25.92	1.37e-11	1.02
chr8-603	chr8	81032959	81033123	+	20.2	0.529	10.500000	10.0	1.5	6.67	4.10e-06	8.45	5.06e-07	0.97
chr9-567	chr9	78024353	78024517	+	20.2	0.740	10.000000	10.0	2.0	5.00	4.65e-05	9.03	2.80e-07	1.02
chr12-402	chr12	106674301	106674465	+	20.2	0.884	10.000000	10.0	0.5	20.00	1.63e-10	16.56	9.73e-10	0.97
chr3-654	chr3	87764888	87765052	+	19.2	0.762	8.500000	9.5	1.5	6.33	2.77e-05	35.76	8.67e-12	1.10
chr5-615	chr5	128091443	128091607	+	19.2	0.492	10.000000	9.5	1.5	6.33	2.77e-05	8.71	2.26e-06	0.92
chr6-586	chr6	5117420	5117584	+	19.2	0.675	9.500000	9.5	1.0	9.50	1.13e-06	11.92	1.61e-07	0.92
chr14-346	chr14	31439446	31439610	+	19.2	0.549	10.000000	9.5	1.0	9.50	1.13e-06	11.44	2.26e-07	0.92
chr17-486	chr17	87634045	87634209	+	19.2	0.909	9.500000	9.5	0.5	19.00	3.26e-09	226.50	1.06e-18	0.92
chr18-428	chr18	70580132	70580296	+	19.2	0.895	9.000000	9.5	1.5	6.33	2.77e-05	22.21	8.62e-10	0.98
chr2-994	chr2	101498316	101498480	+	18.2	0.833	8.000000	9.0	0.5	18.00	3.26e-09	31.56	2.59e-11	1.10
chr17-405	chr17	3020241	3020405	+	18.2	0.580	10.500000	9.0	0.5	18.00	3.26e-09	5.86	3.31e-05	0.98
chr6-710	chr6	72462576	72462740	+	17.2	0.625	8.500000	8.5	1.0	8.50	1.02e-05	15.35	1.26e-07	0.92
chr6-724	chr6	100815893	100816057	+	17.2	0.919	8.500000	8.5	0.5	17.00	5.88e-08	23.03	5.91e-09	0.92
chr17-541	chr17	63086849	63087013	+	17.2	0.917	8.500000	8.5	0.5	17.00	5.88e-08	15.12	1.41e-07	0.92
chr18-439	chr18	7609234	7609398	+	17.2	0.879	8.500000	8.5	0.5	17.00	5.88e-08	15.35	1.26e-07	0.92
chr19-250	chr19	5023885	5024049	+	17.2	0.686	9.000000	8.5	0.5	17.00	5.88e-08	37.53	1.37e-10	0.92
chr5-931	chr5	114396983	114397147	+	16.2	0.889	7.000000	8.0	0.5	16.00	5.88e-08	32.89	2.38e-10	1.12
chr8-763	chr8	60053311	60053475	+	16.2	0.886	8.500000	8.0	1.0	8.00	1.02e-05	6.53	4.26e-05	0.98
chr9-730	chr9	123782178	123782342	+	16.2	0.914	8.000000	8.0	0.5	16.00	5.88e-08	50.19	8.80e-12	0.98
chr13-665	chr13	47247786	47247950	+	16.2	0.929	7.500000	8.0	0.5	16.00	5.88e-08	25.10	1.92e-09	1.04
chr16-519	chr16	45024130	45024294	+	16.2	0.879	8.000000	8.0	0.5	16.00	5.88e-08	18.70	1.81e-08	0.98
chr18-446	chr18	21280590	21280754	+	16.2	0.792	8.500000	8.0	0.5	16.00	5.88e-08	13.82	1.75e-07	1.04
chr18-453	chr18	38498553	38498717	+	16.2	0.696	8.500000	8.0	1.0	8.00	1.02e-05	12.39	3.94e-07	0.98
chr18-495	chr18	67275685	67275849	+	16.2	0.839	8.000000	8.0	0.5	16.00	5.88e-08	22.71	4.14e-09	0.98
chr4-744	chr4	32445646	32445810	+	15.1	0.683	8.500000	7.5	1.0	7.50	8.32e-05	17.88	2.98e-07	0.92
chr5-868	chr5	111032167	111032331	+	15.1	0.629	7.500000	7.5	0.5	15.00	9.40e-07	28.84	1.23e-08	0.92
chr10-837	chr10	20179588	20179752	+	15.1	0.909	7.500000	7.5	0.5	15.00	9.40e-07	21.81	8.01e-08	0.92
chr11-698	chr11	32224727	32224891	+	15.1	0.867	7.500000	7.5	1.0	7.50	8.32e-05	22.35	6.79e-08	0.92
chr12-532	chr12	13221831	13221995	+	15.1	0.816	7.500000	7.5	1.0	7.50	8.32e-05	10.64	8.46e-06	0.98
chr12-497	chr12	25382047	25382211	+	15.1	0.868	8.000000	7.5	0.5	15.00	9.40e-07	21.81	8.01e-08	0.98
chr16-503	chr16	4639808	4639972	+	15.1	0.861	8.000000	7.5	1.0	7.50	8.32e-05	21.29	9.40e-08	0.92
chr18-494	chr18	66124778	66124942	+	15.1	0.833	8.000000	7.5	1.0	7.50	8.32e-05	17.19	3.85e-07	0.92
chr18-585	chr18	78335139	78335303	+	15.1	0.848	7.000000	7.5	0.5	15.00	9.40e-07	8.20	4.25e-05	0.98
chrX-372	chrX	4545325	4545489	+	15.1	0.833	7.500000	7.5	0.5	15.00	9.40e-07	40.64	1.20e-09	0.92
chrX-356	chrX	71010756	71010920	+	15.1	0.757	8.000000	7.5	0.5	15.00	9.40e-07	12.25	3.47e-06	0.92
chrX-367	chrX	141949520	141949684	+	15.1	0.710	8.000000	7.5	1.0	7.50	8.32e-05	13.15	2.20e-06	0.92
chr1-1009	chr1	134930390	134930554	+	14.1	0.839	7.500000	7.0	0.5	14.00	9.40e-07	41.72	6.28e-10	0.98
chr2-1083	chr2	103446159	103446323	+	14.1	0.630	7.500000	7.0	1.0	7.00	8.32e-05	18.97	1.28e-07	0.98
chr2-1108	chr2	179986106	179986270	+	14.1	0.867	7.500000	7.0	1.0	7.00	8.32e-05	28.78	7.84e-09	0.98
chr7-913	chr7	17401757	17401921	+	14.1	0.605	8.000000	7.0	0.5	14.00	9.40e-07	13.04	1.49e-06	0.98
chr7-1051	chr7	52151342	52151506	+	14.1	0.641	7.000000	7.0	1.0	7.00	8.32e-05	11.92	2.65e-06	0.98
chr7-1002	chr7	95246346	95246510	+	14.1	0.875	7.500000	7.0	1.0	7.00	8.32e-05	24.54	2.29e-08	0.98
chr10-863	chr10	80820093	80820257	+	14.1	0.806	7.500000	7.0	1.0	7.00	8.32e-05	10.70	5.29e-06	0.98
chr11-688	chr11	4604333	4604497	+	14.1	0.600	7.500000	7.0	1.0	7.00	8.32e-05	23.84	2.78e-08	0.98
chr11-692	chr11	20694353	20694517	+	14.1	0.743	7.500000	7.0	0.5	14.00	9.40e-07	31.00	9.58e-08	0.91
chr12-550	chr12	78882462	78882626	+	14.1	0.794	7.500000	7.0	0.5	14.00	9.40e-07	17.39	2.28e-07	0.98
chr13-742	chr13	102571517	102571681	+	14.1	0.615	7.000000	7.0	1.0	7.00	8.32e-05	9.48	1.13e-05	0.98
chr18-573	chr18	52920027	52920191	+	14.1	0.581	7.000000	7.0	1.0	7.00	8.32e-05	14.90	6.26e-07	0.98
chr19-334	chr19	5924803	5924967	+	14.1	0.846	7.000000	7.0	1.0	7.00	8.32e-05	41.72	6.28e-10	0.98
chr19-325	chr19	3907051	3907215	+	13.1	0.815	7.000000	6.5	0.5	13.00	1.32e-05	11.40	2.70e-05	0.91
chr2-1124	chr2	28040039	28040203	+	12.1	0.875	7.000000	6.0	0.5	12.00	1.32e-05	47.68	4.86e-09	0.98
